"obs","phoneme","cog","skewness"
1,"s",3285.3001128225,2.72453042434144
1,"sh",2556.03309688717,2.30526092706414
2,"s",3510.64830413663,3.09309880930912
2,"sh",2781.14655965619,2.47200680051286
3,"s",4029.24761610072,3.33194149473876
3,"sh",2978.72623323357,2.4754321540142
4,"s",4122.94044317139,2.99528866144914
4,"sh",2997.09327980872,2.44901377158049
5,"s",4664.37138758995,2.87513858673648
5,"sh",3020.30990808132,2.64926511536459
6,"s",4679.53161588199,3.83929812590783
6,"sh",3096.50952313537,2.77750043301084
7,"s",4792.50484303788,3.52966565487204
7,"sh",3164.69229894678,2.10172690649501
8,"s",4811.24430545048,3.51388761991798
8,"sh",3252.7218946846,2.74090885839147
9,"s",4873.54618925767,3.43409318999965
9,"sh",3405.38143289408,2.77763559780277
10,"s",4878.7594194582,3.54140139431968
10,"sh",3432.04285526255,2.63096788332006
11,"s",5021.84994489138,3.47804980609176
11,"sh",3510.37888539938,2.94539200421505
12,"s",5085.00543670032,3.62664164700106
12,"sh",3528.38324304954,2.6863441851811
13,"s",5105.71004628965,3.4728056743493
13,"sh",3541.38766861049,2.71382770194533
14,"s",5194.61161284364,3.32326423091233
14,"sh",3545.0650137452,2.94401446248856
15,"s",5246.63831986349,3.82088681342272
15,"sh",3565.98397520668,3.12691744742746
16,"s",5335.47640374641,3.97168720697312
16,"sh",3621.27949084855,2.86465072561172
17,"s",5344.20449329467,3.61035413280221
17,"sh",3645.36650142525,2.7382464487551
18,"s",5387.65378784977,3.44316894280335
18,"sh",3706.22281882679,2.61528875044148
19,"s",5397.212272657,3.82705439746407
19,"sh",3756.65286109256,2.81211983477048
20,"s",5440.68660328881,3.71140147426561
20,"sh",3891.85710790093,2.75796268864846
21,"s",5443.871260471,3.37529194887053
21,"sh",3891.95631689534,2.89419164182391
22,"s",5446.19495941709,3.7235238516446
22,"sh",3968.60799781346,3.06317983255105
23,"s",5455.06639098477,3.60147312870676
23,"sh",4000.8842813053,2.83007072224788
24,"s",5483.80973690105,3.67371115247845
24,"sh",4022.40172702453,3.54103423973124
25,"s",5574.56498336519,3.55596801915542
25,"sh",4059.47305932133,3.06093886479368
26,"s",5683.64332422208,4.20245004369453
26,"sh",4122.60267056952,3.28734278877575
27,"s",5829.50777181536,3.84852747862944
27,"sh",4151.03383961147,2.61769212383772
28,"s",5864.58196213683,3.6111882986178
28,"sh",4213.67903261779,3.25503974774798
29,"s",5887.67161155937,3.98327449352758
29,"sh",4233.15698841397,2.85332946211667
30,"s",5889.84323641143,3.99755674748681
30,"sh",4266.36029697082,3.31714088400724
31,"s",5917.9415601997,3.76180544001799
31,"sh",4272.89575313954,3.21607390766016
32,"s",5987.42905242849,3.41593039187833
32,"sh",4296.01504793303,3.06650180811256
33,"s",6056.66319867366,3.90023525882381
33,"sh",4318.48470429365,3.42409407818228
34,"s",6075.78135165349,4.15199220301084
34,"sh",4380.40762311973,3.04995747771048
35,"s",6093.90132121751,4.03500600540023
35,"sh",4446.78914045224,3.10727170937801
36,"s",6119.82574789471,4.04027712514631
36,"sh",4455.77570195393,3.02767341477188
37,"s",6196.96337540474,4.21064583342639
37,"sh",4475.15695010274,3.10394275370069
38,"s",6238.32470512922,3.88187062484871
38,"sh",4488.58108279124,3.43332753207024
39,"s",6263.17574845754,4.35094328308362
39,"sh",4551.79148996062,3.36263617488934
40,"s",6268.53292451542,4.13319765660207
40,"sh",4560.170919612,3.48111730334141
41,"s",6282.13630073107,4.28253028384515
41,"sh",4850.47986982109,3.34721620209981
42,"s",6321.22119509809,4.36743214449654
42,"sh",4928.32209255596,3.53943510463291
43,"s",6381.10772645421,4.23524994621017
43,"sh",4942.46959725856,3.52006778352658
44,"s",6418.97737160822,4.0337471632309
44,"sh",4966.29424478654,3.19789565391676
45,"s",6443.8362106853,4.45451101653612
45,"sh",5146.41896136083,3.9288953381755
46,"s",6600.02537198388,3.89997969703485
46,"sh",5172.44388925031,3.61311147681189
47,"s",6624.93091814311,4.20350731107121
47,"sh",5269.46676363268,3.78785318164791
48,"s",6858.67955152904,4.37820563393312
48,"sh",5584.31991880469,3.98318729478414
49,"s",7011.78116845085,4.47266637687242
49,"sh",5738.08933628972,3.85893152785641
50,"s",7095.28080213779,4.75173318282572
50,"sh",5921.29420840382,3.89948402024852
